index,label,n_failed,error_type,models_failed,song,artists,lyrics
696,1,5,FN,"regex,roberta,llama,qwen,bert",Afraid To Get Close,['Iggy Pop'],Afraid to Get Close Lyrics Watching the cat asleep on my pillows Afraid to get close to anyone and afraid not to The need of all creatures to be warmed and touched The girls who want dads I think the writing is eating up myself Preventing any togetherness with anyone Hurting and recycling people over and over again How much longer? How many more?I held her in my arms and I didn't want to realize She was putting her life in my hand You might also like Embed
709,0,5,FP,"regex,roberta,llama,qwen,bert",Over,['Drake'],"Translations English English Over Lyrics Uh  uh Young Money Yeah  yeah  yeah I know way too many people here right now That I didn't know last year—who the fuck are y'all?I swear it feels like the last few nights We've been everywhere and back But I just can't remember it all What am I doing? What am I doing?Oh yeah  that's right—I'm doing me  I'm doing me I'm living life right now  man And this what I'ma do 'til it's over  'til it's over But it's far from over Alright  bottles on me  long as someone drink it Never drop the ball  fuck are y'all thinking?Making sure the Young Money ship is never sinking About to set it off in this bitch  Jada Pinkett I shouldn't have drove  tell me how I'm getting home You too fine to be laying down in bed alone I could teach you how to speak my language  Rosetta Stone I swear this life is like the sweetest thing I've ever known About to go thriller  Mike Jackson on these niggas All I need's a fucking red jacket with some zippers Super good smidoke  a package of the Swisher's I did it overnight  it couldn't happen any quicker""Y'all know them? Well  fuck it  me either""But point the biggest skeptic out  I'll make him a believer It wouldn't be the first time I done it  throwing hundreds When I should be throwing ones  bitch  I run it I know way too many people here right now That I didn't know last year—who the fuck are y'all?I swear it feels like the last few nights We've been everywhere and back But I just can't remember it all What am I doing? What am I doing?Oh yeah  that's right—I'm doing me  I'm doing me I'm living life right now  man And this what I'ma do 'til it's over  'til it's over But it's far from over You might also like Uh  one thing 'bout music: when it hits  you feel no pain And I swear I got this shit that make these bitches go insane So they tell me that they love me  I know better than that  it's just game It's just what comes with the fame  and I'm ready for that  I'm just saying But I really can't complain  everything is kosher Two thumbs up  Ebert and Roeper I really can't see the end getting any closer But I'll probably still be the man when everything is over So I'm riding through the city with my high beams on Can you see me? Can you see me? Get your Visine on Y'all just do not fit the picture: turn your widescreen on If you thinking I'ma quit before I die  dream on Man  they treat me like a legend  am I really this cold?I'm really too young to be feeling this old It's about time you admit it  who you kidding?Man  nobody's ever done it like I did it  uh I know way too many people here right now That I didn't know last year—who the fuck are y'all?I swear it feels like the last few nights We've been everywhere and back But I just can't remember it all What am I doing? What am I doing?Oh yeah  that's right—I'm doing me  I'm doing me I'm living life right now  man And this what I'ma do 'til it's over  'til it's over But it's far from over Yeah  that's right—I'm doing me  I'm doing me I'm living life right now  man And this what I'ma do 'til it's over  'til it's over But it's far from over78Embed"
711,0,5,FP,"regex,roberta,llama,qwen,bert",Line Em Up,['Lil Wayne'],Line Em Up Lyrics M-M-M-Murda I had a Benz when you had a bike  uh All this cocaine got me actin' white You could ask Jada Pinkett  nigga  I'm a legend You could ask Chrissy Teigen  ask John Legend She say I got a vanilla aftertaste Cut his face  let him use his blood for his aftershave Harrell Park  it ain't nothin' like South Park Pistol whip you 'til you know the serial number by heart  damn Sit the chop on top your nose  if you sneeze  I squeeze Got them extra extendos  call them Eazy-Es Uzis  .223's  TEC's  semi-automatic  reflex Bullet ain't got no name  but these no-names ain't got no respect Put some respect on my name  don't know where I got that from Mad scientist in this bitch  don't even know what I'm mad for  woo'Cause it's hard to ignore the bullshit when it can't flush  woo Tryna dodge and duck  but you can't duck  nigga  blaow Stunt  stunt  real deal Had the MAC-11  real  real Had to send your ass the real deal Had to send your ass the real deal Had to line 'em up  yeah  line 'em up You niggas quack me up  bah  Daffy  Donald Duck Stunt  stunt  real deal Had the MAC-11  real  real Had to send your ass the real deal Had to send your ass the real deal Had to line 'em up  I'ma nine 'em up These niggas quack me up  brrah  better Donald Duck Gas 'em up  I'ma fire 'em up  yeah Pack 'em up  I'ma pile 'em up  yeah Line 'em up  yeah  sign 'em up  yeah Line 'em up  I'm anonymous Leave out this bitch  comin' back with the dawgs I'm comin' back with the dawgs Go at my neck  I'm comin' back at your skull I'm comin' back with her drawers Come back with the bag  the package and all  yeah I put the stash in the wall Thirty round dick  I'm jackin' it off  yeah'Til ain't no more jacks in the cards Aces and kings  blackest of hearts  yeah I played the hands I was taught Family man  your family involved  damn Family tree  branches gon' fall Actin' an ass  no actin' at all  no All of the cameras is off You fucked up the deal  look back at the mall  huh We dunk on 'em  back in the form You might also like I had a Benz when you had a bike  uh All this cocaine got me actin' white Ask Jada Pinkett  I'm a legend You could ask Chrissy Teigen  ask John Legend Stunt  stunt  real deal Had the MAC-11  real  real Had to send your ass the real deal Had to send your ass the real deal Had to line 'em up  yeah  sign 'em up These niggas quack me up   better Donald Duck Line 'em up  sign 'em up I'ma grind 'em up  I'ma fire 'em up Smoke  smoke   smoke  smoke Smoke  smoke  smoke  smoke Huh  huh  line 'em up  huh  blaow Smokin' Donald Duck I see you backin' up You better Donald Duck You niggas crack me up You better Donald Duck  blaow  blaow Line 'em up  grrt You better Donald Duck  yeah Gas 'em up  and I'ma fire 'em up  yeah Pack 'em up  and I'ma pile 'em up  smoke Funeral5Embed
722,0,5,FP,"regex,roberta,llama,qwen,bert",On Fire,['Eminem'],"On Fire Lyrics You know  critics  man Critics never got nothin' nice to say  man You know  the one thing I notice about critics  man Is critics never ask me how my day went Well  I'ma tell 'em Augh  yesterday my dog died I hog tied a ho  tied her in a bow Said: ""Next time you blog  try to spit a flow.""You wanna criticize  dog? Try a little mo'I'm so tired of this I could blow  fire in the hole I'm fired up  so fire up the lighter and the dro Better hold on a little tighter  here I go Flows tighter  hot-headed as Ghost Rider Cold-hearted as Spider-Man throwing a spider in the snow So you better get lower than Flo Rida Inside of a lowrider with no tires  in a hole Why am I like this? Why is winter cold?Why is it when I talk I'm so biased to the hoes?Listen  dog  Christmas is off  this is as soft as it gets This isn't golf  this is a blistering assault Those are your wounds  this is the salt  so get lost Shit  dissin' me is just like pissin' off the Wizard of Oz Wrap a lizard in gauze Beat you in the jaws with it  grab the scissors and saws And cut out your livers  gizzards  and balls Throw you in the middle of the ocean in a blizzard with Jaws So sip piss like sizzurp through a straw Then describe how it tasted like dessert to us all Got the gall to make Chris piss in his drawers Tickle him  go to his grave  skip him  and visit his dog That's how you know you're on a roll'Cause when you're hot it's like you're burning up everyone else's cold Man  I'm so fuckin' sick I got ambulances pullin' me over and shit You need to stop  drop  and roll'Cause when you say the shit to get the whole hip-hop shop to blow Yeah Yuh I just put a bullshit hook in between two long-ass verses If you mistook this for a song  look  this ain't a song It's a warning to Brooke Hogan and David Cook That the crook just took over  so book Run as fast as you can  stop writing and kill it I'm lightning in a skillet  you're a fuckin' flash in the pan I pop up  you bitches scatter like hot grease splashing a fan Mr. Mathers is the man  yeah  I'm pissed But I would rather take this energy and stash it in a can Come back and whip your ass with it again Saliva's like sulfuric acid in your hand It'll eat through anything  metal  the ass of Iron Man Turn him into plastic So for you to think that you could stand a fuckin' chance is asinine Yeah  ask Denaun  man Hit a blind man with a coloring book And told him color inside the lines or get hit with a flying crayon Fuck it  I ain't playin'  pull up in a van And hop out on a homeless man holding a sign sayin'""Vietnam vet""  I'm out my fuckin' mind  man Kick over the can  beat his ass  and leave him nine grand So if I seem a little mean to you This ain't savage  you ain't never seen a brute You wanna get graphic  we can go the scenic route You couldn't make a bulimic puke On a piece of fuckin' corn and peanut poop Sayin' you sick  quit playin'  you prick  don't nobody care And why the fuck am I yellin' at air?I ain't even talkin' to no one  'cause ain't nobody there And nobody will fuckin' test me'Cause these hoes won't even dare I'm wasting punchlines  but I got so many to spare I just thought of another one that might go here Nah  don't waste it  save it  psycho—yeah Plus you got to rewrite those lines That you said about Michael's hair You might also like That's how you know you're on a roll'Cause when you're hot it's like you're burning up everyone else's cold Man  I'm so- I'm so hot My motherfuckin' firetruck's on fire  homie You need to stop  drop  and roll'Cause when you say the shit to get the whole hip-hop shop to blow Yeah Oh  shit 76Embed"
731,0,5,FP,"regex,roberta,llama,qwen,bert",Keep It Up,['PHresher'],Keep It Up Lyrics Keep it up  keep it up  keep it up  keep it up All of my niggas  they freeze it up She came with you  I'ma leave with her Bad as hell so I beat it up Tables turned  now they be needin' us Name always in the media Life was so hard  now it's easier Keep it up  keep it up  keep it up  keep it up All of my niggas  they freeze it up She came with you  I'ma leave with her Bad as hell so I beat it up Tables turned  now they be needin' us Name always in the media Life was so hard  now it's easier Shit I got on outta Hammer's closet  commas on commas  these damn deposits I'm countin'  don't tell Uncle Sam about it  rappin'  them servers be analyzin' 'Member they ain't give a damn about us  we livin' life  you just fantasizin' Dab in that bitch  I go Cam about it  ruby car coupe with the camo body None of my niggas wear Dockers  all of my bitches got knockers Walk in that bitch with the chopper  handlin' beef like a Whopper  yeah I do not fuck with imposters  none on my roster  life of a mobster  yeah Rigatoni be my pasta  they holler Barbara  skeleton lobster  yeah Don't get too close to me  only bad bitches can roll with me Sing to that pussy like Jodeci  get on your knees where you 'posed to be I got all of my woes with me  none of you niggas is cold as me Skippy that look like Ginobili  haters still can't get a hold of me Keep it up  keep it up  keep it up  keep it up All of my niggas  they freeze it up She came with you  I'ma leave with her Bad as hell so I beat it up Tables turned  now they be needin' us Name always in the media Life was so hard  now it's easier Keep it up  keep it up  keep it up  keep it up All of my niggas  they freeze it up She came with you  I'ma leave with her Bad as hell so I beat it up Tables turned  now they be needin' us Name always in the media Life was so hard  now it's easier You might also like Embed
733,0,5,FP,"regex,roberta,llama,qwen,bert",BIG CHILLIN,['Jack Harlow'],BIG CHILLIN Lyrics Okay  I'm big chillin’ Told me that she numb to it  she don't get feelings I’m a smooth criminal  I'm a slick villain I already finished  but the dick still in Ass fat  she ain't get fillings Weezy F. Baby  I don't hit ceilings And my brodie got a job  yeah  he quit dealing OGs tryna figure what the kids feelin' The flow need penicillin I been trying to get these pent up feelings off I could give a fuck about how the fuck you feel about everything Ice make it sound like I carry change She's addicted to the Mary Jane But she's still got goals like Harry Kane Pussy hit me like a hurricane And I came quick but the shit was not embarrassing Go and let it marinate Show packed out and I’m standing on a barricade Bad chick  black dress with a pair of shades On the sidewalk  in the crib she don’t wear a thing She don't wear a thing when we in the crib  you already know  ayy She don’t wear a thing  yeah  she get naked 'round me  she don't⁠—You might also like Okay  I'm big chillin’ Told me that she numb to it  she don't get feelings I'm a smooth criminal  I'm a slick villain I already finished  but the dick still in Ass fat  she ain't get fillings Weezy F. Baby  I don't hit ceilings And my brodie got a job  yeah  he quit dealing OGs tryna figure what the kids feelin' Just like Fig Newtons Man  these fellas real sweet  it's no disputin'No tickets at the door  I can't get you in Know we used to have something  but it's slick ruined Slick talk  can't stop  won't stop until the world pissed off In a plane every week  I'm getting sick of Biscoffs Your chick getting picked off Think about life  trying to get the jigsaw put together They ain't fucking with you 'til it's all put together When she stepping out  she looking all put together Fuck what the world thinks Because my dogs know me better Because my dogs know me better And she's a bad motherfucker How could we not go together?Okay  I'm big chillin' Told me that she numb to it  she don't get feelings I'm a smooth criminal  I'm a slick villain I already finished  but the dick still in Ass fat  she ain't get fillings Weezy F. Baby  I don't hit ceilings And my brodie got a job  yeah  he quit dealing OGs tryna figure what the kids feelin' 1Embed
746,0,5,FP,"regex,roberta,llama,qwen,bert",Poltergeists,['Sam Fender'],Poltergeists Lyrics This is where I make my stand In the corner of the hotel room With the receiver in one hand Holdin' on to the wanin' sound Of a crackled voice on a dodgy line With a stomach full of piss-cheap wine It's one last drink to sink with you Before these fuckers run me through I haven't been the best of men Morality is an evolving thing I can blame the times  I can blame the wigs I can blame the things that we saw as kids I'm a waster  darling  and I'll tell it straight Put all my failures on a plate Shе picks at them and doesn't chew And spits thеm out for me to view This place is full of poltergeists And tonight  I'll join them when I die You might also like Embed
750,0,5,FP,"regex,roberta,llama,qwen,bert",Cock The Hammer,['Cypress Hill'],Cock the Hammer Lyrics I'm a chickenhawk  huntin' for a chicken Get paranoid when you hear my Glock clickin'Speakin' to the punk that's tweakin'With the bitch-ass styles I hit you like Deacon Jones house  cough without the bones I rolled ya up and smoked you like cones Split the seed and grow you like clones Don't start-me-up  'cause I'm not the Rolling Stones But I get stoned with a little help from my friends With the   then I passed it round back to me again I can make you famous like Amos Same as the last punk  when I stuck the gat up his anus Hear me growl: Grrra! Howl!I got the night vision just like the wise old owl I'm comin' to fetch ya Yeah homes  I'll wet ya Bury them bones Under my home and Cock the hammer!Cock the hammer  it's time for action!Cock the hammer!Cock the hammer  it's time for action!Take my weapon  step into a whole new realm And step back  as I take up the helm On the pirate ship I'm steerin'Droppin' the geran Just realize what you're hearin'The cannon sounded That's my companion: surrounded As my crew comes bounding As the captain Afro-America Whole lotta gattin'With the loc'ed out Latin Busted!You're a red beard with a musket Better talk quick 'cause ya might get dusted Your gat looks rusted  disgusted Oh look away  look away boy as I rush it Yes I know that you can't withstand it Watch that ass 'cause punk I'll brand it With a steel-toe  how you feel now When my boot stuck in that ass like a dildo Cry on a pillow  weepin ass willow The Hill got the skill for the static-like brillo Hmm  what you talkin' `bout punk Gimme room as I light up the boom Cock the hammer  wave the white banner Ever heard a Glock go click like a camera?You might also like Cock the hammer!Cock the hammer  it's time for action!Cock the hammer!Cock the hammer  it's time for action!Cock the hammer!Cock the hammer  it's time for action!Cock the hammer!Cock the hammer  it's time for action!4Embed
777,0,5,FP,"regex,roberta,llama,qwen,bert",Workout Plan,['Kanye West'],Translations Español Workout Plan Lyrics Ayy  wassup  girl?Hey  girl Hey  how you doin'?Ayy  you know I finally got my shit together Been watchin' that workout plan  girl!Well  you lookin' all good and stuff  you got you a—Girl  I know it's that workout Got you a six pack Shakur and stuff Don't say it My nigga  my nigga  I'm tired of puttin' 1-8-7 in my nigga's pager That shit ain't workin' no more Girl  you know I'ma video ho-ffesional now Since I copped this new workout plan my shit is right Rollin' in Lexus  Acuras  everything  girl Girl  you need to let me know where I can cop that  how much is it?Girl  you know you ain't gotta pay nothin' around me  I'm the bootleg queen I'll give it to you for Free.99FREE.99?!That's my dawg  you always lookin' out for us My nigga  now I can throw away my bus pass and shit  oh my God Oh  shit You might also like6Embed
792,0,5,FP,"regex,roberta,llama,qwen,bert",Socialize,['Lloyd Banks'],Socialize Lyrics I'm coming out of S-O-U-T-H-S-I-D-EYou out the whip  boy  can't even get a test drive free Just left the jeweler again  told him to make my neck pop  3DHope it was worth it to cross me  won't get a next time  see me Coming to you out a neighborhood that hands out free scars If I can rewind the clock and back the vans out ERs From the city that ain't the quickest to hash out remarks Went from shithole to four-and-a-half to five-star key cards Fuck you sayin'? Kilo won at the weigh-in Pocket full of dissection  I'm keepin' all your complainin'Far from celebratory  I'm leaving on the occasion Imagine them throwin' jabs at me with the style that I gave 'em Shackles  gon' have to cage him As far as the road  I'm ragin'Nigga  two fucks wavin'  revolver accompany while I’m bathin’The comeback's been amazing Here's to my getting money engagement Wrote my motherfucking signature in pavement I'm not to play with Fuck you gon' give me? I got my pride Getting it makes me feel like I'm alive Expect 'em to snake  you won't be surprised Niggas claimin' they ride or die and hide No matter what you say to me  it's in the eyes Niggas'll do anything to survive RIP  Imma do it for the guys You tryna make moves or socialize?You might also like They numbers shavin'  you inexperienced  movin' out the stores Put these pics up from cruises  makin' them losers pout some more Left a copycat pattern  harder to prove I'm not the lord In other words  I'm that nigga  check your confusion at the door Killed the underground  lately safe to assume I'm out for more still pickin' the screws up out the floor You got a filter on your life and ain't shit without couture I ain't stayin' long but I dropped a deuce on 'em way out the tour Haters never shine  just step aside  my second time regroup Ain't no question 'bout it  weapon crowded  steppin' out the coupe These perfected lines I specialize and mesmerize pursuits I need an extra prize  my severed ties should recognize the truth Better check your aura  ain't got a convo  comment  or question for ya Knew you all my life and a stranger'll be your best supporter Bet I won't respond to it  ain't no birds in the pecking order I don't give a fuck 'bout your nod  nigga  I never saw ya Fuck you gon' give me? I got my pride Getting it makes me feel like I'm alive Expect 'em to snake  you won't be surprised Niggas claimin' they ride or die and hide No matter what you say to me  it's in the eyes Niggas'll do anything to survive RIP  Imma do it for the guys You tryna make moves or socialize?2Embed
796,0,5,FP,"regex,roberta,llama,qwen,bert",FML,['Kanye West'],"Translations Türkçe English Português FML Lyrics I been waiting for a minute For my lady So I can't jeopardize that for one of these hoes I been livin' without limits As far as my business I'm the only one that's in control I been feeling all I've given For my children I will die for those I love God  I'm willing To make this my mission Give up the women Before I lose half of what I own I been thinking'Bout my vision Pour out my feelings Revealing the layers to my soul My soul The layers to my soul Revealing the layers to my soul They wish I would go ahead and fuck my life up Can't let them get to me And even though I always fuck my life up Only I can mention me See  before I let you go One last thing I need to let you know You ain't never seen nothing crazier than This nigga when he off his Lexapro Remember that last time in Mexico?Remember that last time  the episode?Asking me why the hell I text in code?Four times just to say  ""Don't text me  ho""Told you four times  ""Don't test me  ho""And we finna lose all self-control But you ain't finna be raising your voice at me Especially when we in the Giuseppe store But I'ma have the last laugh in the end'Cause I'm from a tribe called ""Check-a-ho""Yeah  I'ma have to laugh in the end'Cause I'm from a tribe called ""Check-a-ho""And I...They wish I would go ahead and fuck my life up Can't let them get to me And even though I always fuck my life up Only I can mention me They wish I would go ahead and fuck my life up Can't let them get to me And even though I always fuck my life up Only I can mention me You might also like See through the veil And forget all of your cares Throw them Throw them away Don't stop your loving Don't stop for nothing No  not for nothing They don't wanna see me love you Don't now  don't stop it They always love it They always wanna They don't wanna see me love you See through the veil They don't wanna see me love you And forget all your cares They don't wanna see me love you Throw them Throw them away Ooh  life's a feeling and Ooh  the body is a feeling  yeah135Embed"
799,0,5,FP,"regex,roberta,llama,qwen,bert",Baby Birkin,['Gunna'],Baby Birkin Lyrics Wheezy outta here I know my purpose European car  it came with curtains I have a daughter  I'm buying her baby Birkin Fucked her good and got her legs hurtin' Found the wave and got them Ms early Southside nigga from the dirty-dirty Paranoid  I keep a loaded .30 Took care of the fam so we don't gotta worry Young Gunna Wunna jumped in head first Roamed the streets and finally found my worth Killed that nigga  left him dead-dirt Took his body  now the coupe a hearse 250 in this man purse Feel like diamonds drippin' off my damn shirt I got bitches travel' on the Amherst I done came a long way from the bunkers It's so hard to give trust because love hurts Shit don't come easy  nigga  it's hard work They be ridin' shotgun like a Mossberg She start suckin' and won't let me park first She made me bust a nut  that's a star burst Ridin' her 'round the city  the dodger She got ass and titty like Miss Parker Swear this Bentley used to be the MARTA We keep winning 'cause we workin' harder Lotta bookings  I'm goin' back to Florida All my Elliot diamonds is water Money hungry  I got a disorder That plain Rolex cost more than a quarter Keep your wife  I'ma take care of your daughter If she hold it down  I'ma award her I still listen to reason  I'm smarter Send invoice for whatever we order You might also like I know my purpose European car  it came with curtains I have a daughter  I'm buying her baby Birkin Fucked her good and got her legs hurtin' Found the wave then got them Ms early Southside nigga from the dirty-dirty Paranoid  I keep a loaded .30 Took care of the fam so we don't gotta worry I put diamonds on a redbone I popped a pill and now my head gone He slimed 'em out and we was dead wrong Them arms with AP look like honeycombs I done left my ex  told her ain't comin' home Told her she won't see me 'til my money long I been knockin' these hoes down like domino Ain't have shit I was stealin' my cousin clothes Now I drip every day like I'm a runny nose My shoes lately be more than a hundred homes I don't cherish  I know that they come and go I got boomerang bitches  they comin' back I go straight in the hole like a runningback Cut your neck like a tree  I'm a lumberjack Different colors on me I don't wanna match When she suckin'  look at me  I'm lovin' that My next show booking gon' be a hunnid racks I can't beef with you boys on the internet Can't do business 'cause nigga you been a rat We pop up at yo' crib like the Men in Black When it come to that cash I'ma interact When I'm fuckin' that body that pussy wet She a groupie  keep askin' where Uzi at Told my girl put that dope in her booty crack I'm a slimy lil' nigga like Nudy  yeah I know my purpose European car  it came with curtains I have a daughter  I'm buying her baby Birkin Fucked her good and got her legs hurtin' Found the wave then got them Ms early Southside nigga from the dirty-dirty Paranoid  I keep a loaded .30 Took care of the fam so we don't gotta worry 8Embed
809,0,5,FP,"regex,roberta,llama,qwen,bert",Marcy Me,['JAY-Z'],"Marcy Me Lyrics Live from Bedford-Stuyvesant The livest one representin' BK to the fullest Bastards duckin' when Hov be buckin'Chicken-heads be cluckin'Uhh  back when ratchet was a ratchet and a vixen was a vixen And Jam Master Jay was alive I-I  I was mixin'Cookin' coke in the kitchen Back when Rodman was a Piston Mike was losin' to Isiah  but he soon would get his sixth one Gave birth to my verbal imagination Assume a virtue if you have not Or better yet here's a verse from Hamlet""Lord  we know who we are Yet we know not what we may be""So maybe I'm the one or maybe I'm crazy I'm from Marcy Houses  where the boys die by the thousand Back when Pam was on Martin Yeah  that's where it all started When Denzel was blottin' carpet  I'll pack a… nine millimeter When Slick Rick made ""Mona Lisa""When Lisa Bonet was Beyoncé of her day  I had divas  y'all Think I just popped up in this bitch like a fetus? Nah Pregnant pause  give you some second thoughts There's room on the bandwagon  don't abort Marcy me Marcy me Streets is my artery  the vein of my existence I'm the Gotham City heartbeat I  started in lobbies  now parley with Saudis I'ma  Sufi to goofies  I could prolly speak Farsi That's poetry  reek of coca leaf in my past Came through the bushes smellin' like roses I need a trophy just for that Old Brooklyn  not this new shit  shit feel like a spoof Fat laces in your shoe  I'm talkin' bustin' off the roof  uh Hold a Uzi vertical  let the thing smoke Y'all flirtin' with death  I be winkin' through the scope Shout out to all the murderers turned murals Plural  fuck the Federal Bureau Shout out to Nostrand Ave.  Flushing Ave.  Myrtle All the County of Kings  may your ground stay fertile Shout out to Big Poppa  Daddy Kane  heroes Thus concludin' my concerto Marcy me Must be in the air Oh  can't walk away  I know  I know Just the way I'm raised I know  I know  I know Oh Marcy  Marcy me Just the way I am always gonna be I ain't gonna change  no Marcy  Marcy me  just the way I am I ain't gonna change  no I ain't gonna change  no Couldn't change me if I wanted to You couldn't change me if you wanted to I'ma take this with me to the Moon You might also like38Embed"
813,0,5,FP,"regex,roberta,llama,qwen,bert",No Switch,['YoungBoy Never Broke Again'],No Switch Lyrics Grr  bow  bow  bitch These niggas hoes You already know how I get down  you heard me?These bitch ass niggas You know how it turn out every time You heard me? I'm out that north You heard me? Make pistols spark  you heard me?They be hard  you heard me?They be like Yamahas  you heard me?.45 Glocks and shit All these niggas talkin' 'bout them switches  choppa came automatic Red flag  you know the business Pop his ass  wе drop his ass That be that green flag activity All these niggas talkin' 'bout killin' mе So bet  let's get it started They know I been a murder man We bust his brain  jump in that water Hold on  swim like you a shark  bitch Show him he a goldfish  show him how that pole hit Walk down wit' that four-nick'Hold on  talkin' bout that glizzy switch My nigga  get your soul lit Know you heard 'bout all these bodies  we be wildin'That gravediggin' shit Pallbearers bring your body to the grave Don't do no missin' wit' these K's  and that's on Dave Don't give a fuck about where you from We leave you slumped  and that's on Dump On bottom  the Draco got a drum Come out the window  then we dump Leave him dead  bro  don't call my phone I'm bein' investigated by DOJ and the Feds Slime gon' have the money  where you stay at?I'm a child  that's how I play it Watchin' 'toons while gettin' head Backyardigans inside my bed Then I switch to Bob the Builder Take a bitch then body build her They know I like bodies  I catch bodies wit' the slimest niggas They know I be wildin'  from my mama house  I shot a nigga Fuck it  shoulda split his fitted You might also like All these pussy niggas talkin' 'bout them switches  this choppa came automatic Red flag  you know the business Pop his ass  we drop his ass That be that green flag activity All these niggas talkin' 'bout killin' me So bet  let's get it started They know I been a murder mane We bust his brain  jump in that water Hold on  swim like you a shark  bitch Show him he a goldfish  show him how that pole hit Walk down wit' that four-nick'Hold on  talkin' bout that glizzy switch My nigga  get your soul lit Know you heard 'bout all these bodies  we be wildin'That gravediggin' shit Shawty got that ass  that's my lil' baby  I buy her a bottle Don Julio  plus my lil' four  he got all them narcotics1942  or pour a four  I go to diddy boppin'Makeup on my face  or either way  bitch  you don't want my problems They know I'm gon' see about it They know I don't give no fuck They know they don't want to see Lul Tim jump from out that truck They know Quando rollin' like them 60s  buck  he put you up Know I'm a thug ass nigga out that north  and I'ma throw it up And I'm in this bitch  I whacked that bitch but innocent I buy my babymama anything  bitch  'cause I'm really rich I pull up on that silly shit  I'm laughin'  but it turn out bad Try to fight me  I'ma pop you daddy4MATIC  you can catch me in that Maybach flashin'This choppa came automatic Red flag  you know the business Pop his ass  we drop his ass That be that green flag activity All these niggas talkin' 'bout killin' me So bet  let's get it started They know I been a murder mane We bust his brain  jump in that water Hold on  swim like you a shark  bitch Show him he a goldfish  show him how that pole hit Walk down wit' that four-nick'Hold on  talkin' bout that glizzy switch My nigga  get your soul lit Know you heard 'bout all these bodies  we be wildin'That gravediggin' shit Nigga  I'm way from the South  bitch I'm from the bottom of the-I'm from the bottom of the motherfuckin' United States You heard me?We ain't nothin' but some alligators  you heard me Some rapper slayers  you already know  4You know it  whole lot of convicts and shit Pussy ass nigga  they don't like me Bitch  I don't like you neither2Embed
851,0,5,FP,"regex,roberta,llama,qwen,bert",Stoned Raiders,['Cypress Hill'],"Stoned Raiders Lyrics""Guilty... before Almighty God Guilty... before His Son Guilty  before the whole human race It's the Lord who expels you... He who is coming to Judge you...""It is the Lord who is coming to judge both the living  and the dead God himself who commends you...1 for trouble  8 for the road7 to get ready when I'm lettin' off all my load Funk  Buddha monk  in the trunk I got'cha  thumpin' so hard Up and down the blvd. I'm a natrual-born cap-peela'  strapped illa I'm the west coast settin' it on  no one's reala'Get'cha fix of the uncut funk A small dose of the skunk weed  like it's suppose to be Move it up  just move it on out What'cha talkin'bout son I got the first shot  and it's all over now One nation under a groove Smoke a pound for the strict of it Everytime I make a move Smooth and togetha Raw like leatha Ain't goin' out like a punk  neva Check it out  1 2  Cypress groove Check it out  1 2  Cypress groove It's the numba one money maker Money takea  few steps back I'm on a plane to Jamaica Puffin' a fat wada  talk shit For the fool I'm thinkin' about  I got the ruff shit Hard rock bone breaka Stoned Raider  in the Temple of Boom Assurt to assume Never be lettin' shit slide  no way Bitch niggas can hide But  I'll find they ass some day Check it out  1 2  Cypress groove Wherever you are  put'cha muthafuckin' spliff in the air Sound off  like you gotta pair When I kick to the metro Lone clip  be lookin' around Cause this shit ain't over with yet People can't understand my situation Now they cought up in the Soul Assasination Fool  just take cover  it's all over When I break ya off a chunk of this muthafucka You might also like Check it out  1 2  Cypress groove Check it out  1 2  Cypress groove Check it out  1 2  Cypress groove1Embed"
